id,question,answer,A,B,C,D,E,F,question_zh,A_zh,B_zh,C_zh,D_zh,E_zh,F_zh,question_zh_zh
1,A company has an infernal web application that runs on Amazon EC2 instances behind an Application Load Balancer. The instances run in an Amazon EC2 Auto Scaling group in a single Availability Zone. A SysOps administrator must make the application highly available. Which action should the SysOps administrator take to meet this requirement?,C,Increase the maximum number of instances in the Auto Scaling group to meet the capacity that is required at peak usage.,Increase the minimum number of instances in the Auto Scaling group to meet the capacity that is required at peak usage.,Update the Auto Scaling group to launch new instances in a second Availability Zone in the same AWS Region.,Update the Auto Scaling group to launch new instances in an Availability Zone in a second AWS Region.,,,"一家公司有一个地狱般的 web 应用程序，它在 Amazon EC2 实例后面运行，后面是一个 Application Load Balancer。  
这些实例在一个 Amazon EC2 Auto Scaling 组中运行，位于单个 Availability Zone。  
一名 SysOps 管理员必须使该应用程序具有高可用性。  
SysOps 管理员应采取哪项行动以满足此要求？",将 Auto Scaling 组中的最大实例数增加到满足高峰使用时所需的容量。,将 Auto Scaling 组中的最小实例数增加到满足峰值使用时所需的容量。,将 Auto Scaling 组更新为在同一 AWS 区域中的第二个可用区启动新的实例。,将 Auto Scaling 组更新为在第二个 AWS 区域的可用区中启动新的实例。,nan,nan,"一家公司有一个地狱般的 web 应用程序，它在 Amazon EC2 实例后面运行，后面是一个 Application Load Balancer。  
这些实例在一个 Amazon EC2 Auto Scaling 组中运行，位于单个 Availability Zone。  
一名 SysOps 管理员必须使该应用程序具有高可用性。  
SysOps 管理员应采取哪项行动以满足此要求？"
2,A company hosts a website on multiple Amazon EC2 instances that run in an Auto Scaling group. Users are reporting slow responses during peak times between 6 PM and 11 PM every weekend. A SysOps administrator must implement a solution to improve performance during these peak times. What is the MOST operationally efficient solution that meets these requirements?,B,Create a scheduled Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to increase the desired capacity before peak times.,Configure a scheduled scaling action with a recurrence option to change the desired capacity before and after peak times.,Create a target tracking scaling policy to add more instances when memory utilization is above 70%.,Configure the cooldown period for the Auto Scaling group to modify desired capacity before and after peak times.,,,一家公司在多个 Amazon EC2 实例上托管一个网站，这些实例运行在一个 Auto Scaling 组中。用户报告在每个周末的晚上 6 点到 11 点之间的高峰时段响应缓慢。一名 SysOps 管理员必须实施一个解决方案，以在这些高峰时段改善性能。什么是最具操作效率的解决方案，能够满足这些要求？,创建 一个 预定 的 Amazon EventBridge (Amazon CloudWatch Events) 规则 ，以 调用 一个 AWS Lambda 函数 ，以 增加 一个 期望 的 容量 ，在 高峰 时间 之前 。,配置一个带有 recurrence 选项的 scheduled scaling action，以在高峰时间之前和之后改变 desired capacity。,创建一个目标追踪缩放策略，当内存利用率高于70%时添加更多实例。,配置 Auto Scaling 组的冷却时间，以在高峰时间之前和之后修改期望容量。,nan,nan,"一家公司在多个 Amazon EC2 实例上托管一个网站，这些实例运行在一个 Auto Scaling 组中。  
A company hosts a website on multiple Amazon EC2 instances, these instances run in an Auto Scaling group.  

用户报告在每个周末的晚上 6 点到 11 点之间的高峰时段响应缓慢。  
Users report that during the peak hours from 6 PM to 11 PM every weekend, responses are slow.  

一名 SysOps 管理员必须实施一个解决方案，以在这些高峰时段改善性能。  
A SysOps administrator must implement a solution to improve performance during these peak hours.  

什么是最具操作效率的解决方案，能够满足这些要求？  
What is the most operationally efficient solution that can meet these requirements?"
3,"A company is running a website on Amazon EC2 instances behind an Application Load Balancer (ALB). The company configured an Amazon CloudFront distribution and set the ALB as the origin. The company created an Amazon Route 53 CNAME record to send all traffic through the CloudFront distribution. As an unintended side effect, mobile users are now being served the desktop version of the website. Which action should a SysOps administrator take to resolve this issue?",A,Configure the CloudFront distribution behavior to forward the User-Agent header.,Configure the CloudFront distribution origin settings. Add a User-Agent header to the list of origin custom headers.,Enable IPv6 on the ALB. Update the CloudFront distribution origin settings to use the dualstack endpoint.,Enable IPv6 on the CloudFront distribution. Update the Route 53 record to use the dualstack endpoint.,,,"一家公司在 Amazon EC2 实例上运行一个网站，位于一个 Application Load Balancer (ALB) 后面。  
该公司配置了一个 Amazon CloudFront 分发，并将 ALB 设置为源。  
该公司创建了一个 Amazon Route 53 CNAME 记录，以通过 CloudFront 分发发送所有流量。  
作为一个意外的副作用，移动用户现在被提供了网站的桌面版本。  
SysOps 管理员应采取什么行动来解决这个问题？",配置 CloudFront 分发行为 以 转发 User-Agent 头。,配置 CloudFront 分发源设置。 添加一个 User-Agent 头到源自定义头的列表。,在 ALB 上启用 IPv6。更新 CloudFront 分发源设置以使用 dualstack 端点。,在 CloudFront 分发上启用 IPv6。更新 Route 53 记录以使用 dualstack 端点。,nan,nan,"一家公司在 Amazon EC2 实例上运行一个网站，位于一个 Application Load Balancer (ALB) 后面。  
该公司配置了一个 Amazon CloudFront 分发，并将 ALB 设置为源。  
该公司创建了一个 Amazon Route 53 CNAME 记录，以通过 CloudFront 分发发送所有流量。  
作为一个意外的副作用，移动用户现在被提供了网站的桌面版本。  
SysOps 管理员应采取什么行动来解决这个问题？"
4,"A SysOps administrator has enabled AWS CloudTrail in an AWS account. If CloudTrail is disabled, it must be re-enabled immediately. What should the SysOps administrator do to meet these requirements WITHOUT writing custom code?",B,Add the AWS account to AWS Organizations. Enable CloudTrail in the management account.,Create an AWS Config rule that is invoked when CloudTrail configuration changes. Apply the AWS-ConfigureCloudTrailLogging automatic remediation action.,Create an AWS Config rule that is invoked when CloudTrail configuration changes. Configure the rule to invoke an AWS Lambda function to enable CloudTrail.,Create an Amazon EventBridge (Amazon CloudWatch Event) hourly rule with a schedule pattern to run an AWS Systems Manager Automation document to enable CloudTrail.,,,"一名 SysOps 管理员在一个 AWS 账户中启用了 AWS CloudTrail。  
如果 CloudTrail 被禁用，必须立即重新启用。  
SysOps 管理员应该做什么以满足这些要求，**不编写自定义代码**？",将 AWS 账户添加到 AWS Organizations 中。 在管理账户中启用 CloudTrail。,创建 一个 AWS Config 规则 ， 该 规则 被 调用 当 CloudTrail 配置 更改 ， 适用 AWS-ConfigureCloudTrailLogging 自动 修正 行动 。,"创建一个 AWS Config 规则，当 CloudTrail 配置更改时被调用。  
配置该规则以调用一个 AWS Lambda 函数以启用 CloudTrail。",创建一个 Amazon EventBridge (Amazon CloudWatch Event) 每小时规则，使用调度模式，运行一个 AWS Systems Manager Automation 文档，以启用 CloudTrail。,nan,nan,"一名 SysOps 管理员在一个 AWS 账户中启用了 AWS CloudTrail。  
如果 CloudTrail 被禁用，必须立即重新启用。  
SysOps 管理员应该做什么以满足这些要求，**不编写自定义代码**？"
5,"A company hosts its website on Amazon EC2 instances behind an Application Load Balancer. The company manages its DNS with Amazon Route 53, and wants to point its domain's zone apex to the website. Which type of record should be used to meet these requirements?",D,An AAAA record for the domain's zone apex,An A record for the domain's zone apex,A CNAME record for the domain's zone apex,An alias record for the domain's zone apex,,,"一家公司在 Amazon EC2 实例上托管其网站，位于一个 Application Load Balancer 后面。  
该公司使用 Amazon Route 53 管理其 DNS，并且想要将其域名的区域顶点指向该网站。  
应使用哪种类型的记录以满足这些要求？",域的区域顶点的 AAAA 记录,域的区域顶点的 A 记录,域的区域顶点的 CNAME 记录,域的 zone apex 的别名记录,nan,nan,"一家公司在 Amazon EC2 实例上托管其网站，位于一个 Application Load Balancer 后面。  
该公司使用 Amazon Route 53 管理其 DNS，并且想要将其域名的区域顶点指向该网站。  
应使用哪种类型的记录以满足这些要求？"
6,A company must ensure that any objects uploaded to an S3 bucket are encrypted. Which of the following actions will meet this requirement? (Choose two.),CE,Implement AWS Shield to protect against unencrypted objects stored in S3 buckets.,Implement Object access control list (ACL) to deny unencrypted objects from being uploaded to the S3 bucket.,Implement Amazon S3 default encryption to make sure that any object being uploaded is encrypted before it is stored.,Implement Amazon Inspector to inspect objects uploaded to the S3 bucket to make sure that they are encrypted.,Implement S3 bucket policies to deny unencrypted objects from being uploaded to the buckets.,,"一家公司必须确保任何上传到 S3 bucket 的对象都被加密。  
以下哪项操作将满足此要求？（选择两个。）",实现 AWS Shield 以保护免受存储在 S3 桶中的未加密对象。,实现 Object access control list (ACL) 来 阻止 未加密 对象 被 上传 到 S3 bucket。,实现 Amazon S3 默认加密，确保任何被上传的对象在存储之前都被加密。,实现 Amazon Inspector 以检查上传到 S3 bucket 的对象，以确保它们被加密。,实现 S3 bucket policies 来 拒绝 未加密 对象 被 上传 到 这些 存储桶。,nan,"一家公司必须确保任何上传到 S3 bucket 的对象都被加密。  
以下哪项操作将满足此要求？（选择两个。）"
7,A company has a stateful web application that is hosted on Amazon EC2 instances in an Auto Scaling group. The instances run behind an Application Load Balancer (ALB) that has a single target group. The ALB is configured as the origin in an Amazon CloudFront distribution. Users are reporting random logouts from the web application. Which combination of actions should a SysOps administrator take to resolve this problem? (Choose two.),BE,Change to the least outstanding requests algorithm on the ALB target group.,Configure cookie forwarding in the CloudFront distribution cache behavior.,Configure header forwarding in the CloudFront distribution cache behavior.,Enable group-level stickiness on the ALB listener rule.,Enable sticky sessions on the ALB target group.,,"一家公司有一个有状态的 web 应用程序，托管在 Amazon EC2 实例上，属于 Auto Scaling 组。  
这些实例在一个 Application Load Balancer (ALB) 后面运行，ALB 有一个目标组。  
该 ALB 被配置为 Amazon CloudFront 分发的源。  
用户报告从 web 应用程序中随机注销。  
SysOps 管理员应采取哪些行动组合以解决此问题？（选择两个。）",切换到在 ALB 目标组上的最少未完成请求算法。,在 CloudFront 分发缓存行为中配置 cookie 转发。,在 CloudFront 分发缓存行为中配置头部转发。,在 ALB 监听器规则上启用组级粘性。,在 ALB 目标组上启用 sticky sessions。,nan,"一家公司有一个有状态的 web 应用程序，托管在 Amazon EC2 实例上，属于 Auto Scaling 组。  
These instances 在一个 Application Load Balancer (ALB) 后面运行，ALB 有一个目标组。  
The ALB 被配置为 Amazon CloudFront 分发的源。  
用户报告从 web 应用程序中随机注销。  
SysOps 管理员应采取哪些行动组合以解决此问题？（选择两个。）"
8,"A company is running a serverless application on AWS Lambda. The application stores data in an Amazon RDS for MySQL DB instance. Usage has steadily increased, and recently there have been numerous ""too many connections"" errors when the Lambda function attempts to connect to the database. The company already has configured the database to use the maximum max_connections value that is possible. What should a SysOps administrator do to resolve these errors?",B,Create a read replica of the database. Use Amazon Route 53 to create a weighted DNS record that contains both databases.,Use Amazon RDS Proxy to create a proxy. Update the connection string in the Lambda function.,Increase the value in the max_connect_errors parameter in the parameter group that the database uses.,Update the Lambda function's reserved concurrency to a higher value.,,,一家公司在 AWS Lambda 上运行一个无服务器应用程序。该应用程序将数据存储在 Amazon RDS for MySQL DB 实例中。使用量已经稳步增加，最近在 Lambda 函数尝试连接到数据库时出现了许多“连接过多”错误。该公司已经将数据库配置为使用可能的最大 max_connections 值。SysOps 管理员应该采取什么措施来解决这些错误？,创建 一个 读 复制品 的 数据库 。 使用 Amazon Route 53 来 创建 一个 加权 的 DNS 记录 ， 该 记录 包含 两个 数据库 。,使用 Amazon RDS Proxy 来创建 一个 代理。 更新 连接字符串 在 Lambda 函数 中。,在参数组中增加数据库使用的 max_connect_errors 参数的值。,将 Lambda 函数的 reserved concurrency 更新为更高的值。,nan,nan,"一家公司在 AWS Lambda 上运行一个无服务器应用程序。  
该应用程序将数据存储在 Amazon RDS for MySQL DB 实例中。  
使用量已经稳步增加，最近在 Lambda 函数尝试连接到数据库时出现了许多“连接过多”错误。  
该公司已经将数据库配置为使用可能的最大 max_connections 值。  
SysOps 管理员应该采取什么措施来解决这些错误？"
9,A SysOps administrator is deploying an application on 10 Amazon EC2 instances. The application must be highly available. The instances must be placed on distinct underlying hardware. What should the SysOps administrator do to meet these requirements?,D,Launch the instances into a cluster placement group in a single AWS Region.,Launch the instances into a partition placement group in multiple AWS Regions.,Launch the instances into a spread placement group in multiple AWS Regions.,Launch the instances into a spread placement group in a single AWS Region.,,,"一名 SysOps 管理员正在部署一个应用程序在 10 个 Amazon EC2 实例上。  
该应用程序必须是高度可用的。  
这些实例必须被放置在不同的底层硬件上。  
SysOps 管理员应该做什么以满足这些要求？",将实例启动到单个 AWS Region 中的集群放置组内。,将实例启动到多个 AWS Regions 中的 partition placement group。,将实例启动到多个 AWS Regions 中的 spread placement group。,在单一的 AWS Region 中，将实例启动到一个 spread placement group 中。,nan,nan,"一名 SysOps 管理员正在部署一个应用程序在 10 个 Amazon EC2 实例上。  
该应用程序必须是高度可用的。  
这些实例必须被放置在不同的底层硬件上。  
SysOps 管理员应该做什么以满足这些要求？"
10,"A SysOps administrator is troubleshooting an AWS CloudFormation template whereby multiple Amazon EC2 instances are being created. The template is working in us-east-1, but it is failing in us-west-2 with the error code: AMI [ami-12345678] does not exist How should the Administrator ensure that the AWS CloudFormation template is working in every region?",D,Copy the source region's Amazon Machine Image (AMI) to the destination region and assign it the same ID.,Edit the AWS CloudFormation template to specify the region code as part of the fully qualified AMI ID.,Edit the AWS CloudFormation template to offer a drop-down list of all AMIs to the user by using the AWS::EC2::AMI::ImageID control.,Modify the AWS CloudFormation template by including the AMI IDs in the 'Mappings' section. Refer to the proper mapping within the template for the proper AMI ID.,,,"一名 SysOps 管理员正在排查一个 AWS CloudFormation 模板， 其中多个 Amazon EC2 实例正在被创建。  
该模板在 us-east-1 中正常工作，但在 us-west-2 中失败，错误代码为： AMI [ami-12345678] 不存在。  
管理员应如何确保 AWS CloudFormation 模板在每个区域都能正常工作？",将源区域的 Amazon Machine Image (AMI) 复制到目标区域，并赋予其相同的 ID。,编辑 AWS CloudFormation 模板 以 指定 区域 代码 作为 完全 合格 的 AMI ID 的 一部分。,编辑 AWS CloudFormation 模板，以通过使用 AWS::EC2::AMI::ImageID 控制，为用户提供所有 AMI 的下拉列表。,修改 AWS CloudFormation 模板，通过在 “Mappings” 部分中包含 AMI IDs。参考模板中的正确映射，以获取正确的 AMI ID。,nan,nan,"一名 SysOps 管理员正在排查一个 AWS CloudFormation 模板， 其中多个 Amazon EC2 实例正在被创建。  
The administrator is troubleshooting an AWS CloudFormation template, where multiple Amazon EC2 instances are being created.  
该模板在 us-east-1 中正常工作，但在 us-west-2 中失败，错误代码为： AMI [ami-12345678] 不存在。  
The template works correctly in us-east-1, but fails in us-west-2, with the error code: AMI [ami-12345678] does not exist.  
管理员应如何确保 AWS CloudFormation 模板在每个区域都能正常工作？  
How should the administrator ensure that the AWS CloudFormation template works correctly in each region?"
11,A SysOps administrator is provisioning an Amazon Elastic File System (Amazon EFS) file system to provide shared storage across multiple Amazon EC2 instances. The instances all exist in the same VPC across multiple Availability Zones. There are two instances in each Availability Zone. The SysOps administrator must make the file system accessible to each instance with the lowest possible latency. Which solution will meet these requirements?,D,Create a mount target for the EFS file system in the VPC. Use the mount target to mount the file system on each of the instances.,Create a mount target for the EFS file system in one Availability Zone of the VPC. Use the mount target to mount the file system on the instances in that Availability Zone. Share the directory with the other instances.,Create a mount target for each instance. Use each mount target to mount the EFS file system on each respective instance.,Create a mount target in each Availability Zone of the VPC. Use the mount target to mount the EFS file system on the instances in the respective Availability Zone.,,,"一名 SysOps 管理员正在配置一个 Amazon Elastic File System (Amazon EFS) 文件系统，以提供跨多个 Amazon EC2 实例的共享存储。  
这些实例都存在于同一个 VPC 中，跨多个可用区。  
每个可用区中有两个实例。  
SysOps 管理员必须使文件系统对每个实例都可访问，且具有最低的可能延迟。  
哪种解决方案可以满足这些要求？","在 VPC 中为 EFS 文件系统创建一个挂载目标。  
使用挂载目标在每个实例上挂载文件系统。","在 VPC 的一个可用区中，为 EFS 文件系统创建一个挂载目标。  
使用挂载目标在该可用区中的实例上挂载文件系统。  
与其他实例共享该目录。",为每个实例创建一个挂载目标。使用每个挂载目标在各自的实例上挂载 EFS 文件系统。,"在每个 Availability Zone 的 VPC 中创建一个 mount target。  
使用该 mount target 在相应的 Availability Zone 的实例上挂载 EFS 文件系统。",nan,nan,"一名 SysOps 管理员正在配置一个 Amazon Elastic File System (Amazon EFS) 文件系统，以提供跨多个 Amazon EC2 实例的共享存储。  
这些实例都存在于同一个 VPC 中，跨多个可用区。  
每个可用区中有两个实例。  
SysOps 管理员必须使文件系统对每个实例都可访问，且具有最低的可能延迟。  
哪种解决方案可以满足这些要求？"
12,A SysOps administrator has successfully deployed a VPC with an AWS CloudFormation template. The SysOps administrator wants to deploy the same template across multiple accounts that are managed through AWS Organizations. Which solution will meet this requirement with the LEAST operational overhead?,D,Assume the OrganizationAccountAccessRole IAM role from the management account. Deploy the template in each of the accounts.,Create an AWS Lambda function to assume a role in each account. Deploy the template by using the AWS CloudFormation CreateStack API call.,Create an AWS Lambda function to query for a list of accounts. Deploy the template by using the AWS CloudFormation CreateStack API call.,Use AWS CloudFormation StackSets from the management account to deploy the template in each of the accounts.,,,"一名 SysOps 管理员已经成功部署了一个 VPC 使用 AWS CloudFormation 模板。  
该 SysOps 管理员想要在通过 AWS Organizations 管理的多个账户中部署相同的模板。  
哪种解决方案将以最少的操作开销满足此要求？",假设 OrganizationAccountAccessRole IAM 角色从 管理账户。 部署 模板 在 每个 账户。,"创建一个 AWS Lambda 函数以假设每个账户中的角色。  
部署模板通过使用 AWS CloudFormation CreateStack API 调用。","创建一个 AWS Lambda 函数以查询账户列表。  
部署模板通过使用 AWS CloudFormation CreateStack API 调用。",使用 AWS CloudFormation StackSets 从管理账户到部署模板在每个账户中。,nan,nan,"一名 SysOps 管理员已经成功部署了一个 VPC 使用 AWS CloudFormation 模板。  
该 SysOps 管理员想要在通过 AWS Organizations 管理的多个账户中部署相同的模板。  
哪种解决方案将以最少的操作开销满足此要求？"
13,"A company is running distributed computing software to manage a fleet of 20 Amazon EC2 instances for calculations. The fleet includes 2 control nodes and 18 task nodes to run the calculations. Control nodes can automatically start the task nodes. Currently, all the nodes run on demand. The control nodes must be available 24 hours a day, 7 days a week. The task nodes run for 4 hours each day. A SysOps administrator needs to optimize the cost of this solution. Which combination of actions will meet these requirements? (Choose two.)",AE,Purchase EC2 Instance Savings Plans for the control nodes.,Use Dedicated Hosts for the control nodes.,Use Reserved Instances for the task nodes.,Use Spot Instances for the control nodes. Use On-Demand Instances if there is no Spot availability.,Use Spot Instances for the task nodes. Use On-Demand Instances if there is no Spot availability.,,"一家公司正在运行分布式计算软件以管理一组20个 Amazon EC2 实例用于计算。  
这组包括 2 个控制节点和 18 个任务节点以运行计算。  
控制节点可以自动启动任务节点。  
目前，所有节点都按需运行。  
控制节点必须全天候24小时、每周7天都可用。  
任务节点每天运行4小时。  
一名 SysOps 管理员需要优化此方案的成本。  
哪些行动组合将满足这些要求？（选择两个。）",购买 EC2 Instance Savings Plans 用于 控制节点。,使用 Dedicated Hosts 用于 控制 节点。,使用 Reserved Instances 用于 任务 节点 。,使用 Spot Instances 用于 控制节点。 使用 On-Demand Instances 如果 没有 Spot 可用性。,使用 Spot Instances 用于 任务 节点。 使用 On-Demand Instances 如果 没有 Spot 可用性。,nan,"一家公司正在运行分布式计算软件以管理一组20个 Amazon EC2 实例用于计算。  
This company is running distributed computing software to manage a group of 20 Amazon EC2 instances for computation.  
这组包括 2 个控制节点和 18 个任务节点以运行计算。  
This group includes 2 control nodes and 18 task nodes to run calculations.  
控制节点可以自动启动任务节点。  
Control nodes can automatically start task nodes.  
目前，所有节点都按需运行。  
Currently, all nodes are running on demand.  
控制节点必须全天候24小时、每周7天都可用。  
Control nodes must be available 24 hours a day, 7 days a week.  
任务节点每天运行4小时。  
Task nodes run 4 hours each day.  
一名 SysOps 管理员需要优化此方案的成本。  
A SysOps administrator needs to optimize the cost of this solution.  
哪些行动组合将满足这些要求？（选择两个。）  
Which action combinations will meet these requirements? (Choose two.)"
14,A company is supposed to receive a data file every hour in an Amazon S3 bucket. An S3 event notification invokes an AWS Lambda function each time a file arrives. The function processes the data for use by an application. The application team notices that sometimes the file does not arrive. The application team wants to receive a notification whenever the file does not arrive. What is the MOST operationally efficient solution that meets these requirements?,C,Add an S3 Lifecycle rule on the S3 bucket with a scope that is limited to objects that were created in the last hour. Configure another S3 event notification to be invoked by the lifecycle transition when the number of objects transitioned is zero. Publish a message to an Amazon Simple Notification Service (Amazon SNS) topic to notify the application team.,Configure another S3 event notification to invoke a Lambda function that posts a message to an Amazon Simple Queue Service (Amazon SQS) queue. Create an Amazon CloudWatch alarm to publish a message to an Amazon Simple Notification Service (Amazon SNS) topic to notify the application team when the ApproximateAgeOfOldestMessage metric of the queue is greater than 1 hour.,Create an Amazon CloudWatch alarm to publish a message to an Amazon Simple Notification Service (Amazon SNS) topic to alert the application team when the Invocations metric of the Lambda function is zero for an hour. Configure the alarm to treat missing data as breaching.,"Create a new Lambda function to get the timestamp of the newest file in the S3 bucket. If the timestamp is more than 1 hour ago, publish a message to an Amazon Simple Notification Service (Amazon SNS) topic to notify the application team. Create an Amazon EventBridge (Amazon CloudWatch Events) rule to invoke the new function hourly.",,,一家公司应该每小时在一个 Amazon S3 bucket 中接收一个数据文件。一个 S3 event notification 在每次文件到达时调用一个 AWS Lambda function。这个 function 处理数据以供一个 application 使用。这个 application team 注意到有时候文件没有到达。这个 application team 想要在文件没有到达时收到通知。什么是满足这些要求的最具操作效率的解决方案？,"在 S3 存储桶上添加一个 S3 Lifecycle 规则，范围限制为在过去一小时内创建的对象。  
配置另一个 S3 事件通知，以在生命周期过渡时被调用，当过渡的对象数量为零。  
向 Amazon Simple Notification Service (Amazon SNS) 主题发布一条消息，以通知应用程序团队。",配置另一个 S3 事件通知以调用一个 Lambda 函数，该函数向 Amazon Simple Queue Service (Amazon SQS) 队列发布消息。创建一个 Amazon CloudWatch 警报，以向 Amazon Simple Notification Service (Amazon SNS) 主题发布消息，以在队列的 ApproximateAgeOfOldestMessage 指标大于 1 小时时通知应用程序团队。,创建一个 Amazon CloudWatch 警报，以向 Amazon Simple Notification Service (Amazon SNS) 主题发布消息，当 Lambda 函数的 Invocations 指标在一小时内为零时，提醒应用程序团队。 配置该警报，将缺失数据视为违反。,"创建一个新的 Lambda 函数以获取在 S3 bucket 中最新文件的时间戳。  
如果时间戳超过 1 小时前，发布一条消息到 Amazon Simple Notification Service (Amazon SNS) 主题以通知应用程序团队。  
创建一个 Amazon EventBridge (Amazon CloudWatch Events) 规则以每小时调用一次新的函数。",nan,nan,"一家公司应该每小时在一个 Amazon S3 bucket 中接收一个数据文件。  
一个 S3 event notification 在每次文件到达时调用一个 AWS Lambda function。  
这个 function 处理数据以供一个 application 使用。  
这个 application team 注意到有时候文件没有到达。  
这个 application team 想要在文件没有到达时收到通知。  
什么是满足这些要求的最具操作效率的解决方案？"
15,"A company recently acquired another corporation and all of that corporation's AWS accounts. A financial analyst needs the cost data from these accounts. A SysOps administrator uses Cost Explorer to generate cost and usage reports. The SysOps administrator notices that ""No Tagkey"" represents 20% of the monthly cost. What should the SysOps administrator do to tag the ""No Tagkey"" resources?",D,Add the accounts to AWS Organizations. Use a service control policy (SCP) to tag all the untagged resources.,Use an AWS Config rule to find the untagged resources. Set the remediation action to terminate the resources.,Use Cost Explorer to find and tag all the untagged resources.,Use Tag Editor to find and tag all the untagged resources.,,,"一家公司最近收购了另一家企业以及该企业所有的 AWS 账户。  
一名财务分析师需要这些账户的成本数据。  
一名 SysOps 管理员使用 Cost Explorer 生成成本和使用情况报告。  
这名 SysOps 管理员注意到 ""No Tagkey"" 占每月成本的 20%。  
这名 SysOps 管理员应该做什么以给 ""No Tagkey"" 资源打标签？",将账户添加到 AWS Organizations。使用一个 service control policy (SCP) 来标记所有未标记的资源。,使用一个 AWS Config 规则 来查找 未标记 的 资源。 设置 修复 操作 为 终止 这些 资源。,使用 Cost Explorer 来找到并标记所有未标记的资源。,使用 Tag Editor 来找到并标记所有未标记的资源。,nan,nan,"一家公司最近收购了另一家企业以及该企业所有的 AWS 账户。  
One company recently acquired another company and all of that company's AWS accounts.  
一名财务分析师需要这些账户的成本数据。  
A financial analyst needs the cost data of these accounts.  
一名 SysOps 管理员使用 Cost Explorer 生成成本和使用情况报告。  
A SysOps administrator uses Cost Explorer to generate cost and usage reports.  
这名 SysOps 管理员注意到 ""No Tagkey"" 占每月成本的 20%。  
This SysOps administrator notices that ""No Tagkey"" accounts for 20% of the monthly costs.  
这名 SysOps 管理员应该做什么以给 ""No Tagkey"" 资源打标签？  
What should this SysOps administrator do to tag the resources with ""No Tagkey""?"
